"CNNC_MANAGE_NO","TABLE_ENG_NM","DB_TABLE_ATRB_SN","TABLE_ATRB_ENG_NM","TABLE_KOREAN_ATRB_NM","TABLE_ATRB_EXPR","TABLE_ATRB_DC","DSTNG_TRGET_AT","TABLE_ATRB_TY_NM","TABLE_ATRB_LT_VALUE","HIVE_COL_NM","HIVE_ATRB_TY_NM","TABLE_ATRB_NULL_POSBL_AT","TABLE_ATRB_PK_AT","REGIST_DE","REGIST_EMPL_NO","UPDT_DE","UPDT_EMPL_NO"
template1,getBeachLocationList,0,pubasidx,조사번호,,,,,,,STRING,,,,,,
template1,getBeachLocationList,1,pubasseq,공유수면지번관리번호,,,,,,,INTEGER,,,,,,
template1,getBeachLocationList,2,pubasaddress,소재지,,,,,,,STRING,,,,,,
template1,getBeachLocationList,3,pubaslandarea,면적_지적도(m2),,,,,"5,1",,DECIMAL,,,,,,
template1,getBeachLocationList,4,pubasconarea,면적_연속도(m2),,,,,"5,1",,DECIMAL,,,,,,
template1,getBeachLocationList,5,pubasonjibun,인접지번1,,,,,,,STRING,,,,,,
template1,getBeachLocationList,6,pubastwjibun,인접지번2,,,,,,,STRING,,,,,,
template1,getBeachLocationList,7,pubasthjibun,인접지번3,,,,,,,STRING,,,,,,
template1,getBeachLocationList,8,pubasfojibun,인접지번4,,,,,,,STRING,,,,,,
template1,getBeachLocationList,9,pubasostatus,점유상태코드,,,,,,,INTEGER,,,,,,
template1,getBeachLocationList,10,pubasostatusnm,점유상태,,,,,,,STRING,,,,,,
template1,getBeachLocationList,11,pubasareanm,지역,,,,,,,STRING,,,,,,
template2,DT_435001N_001,0,ORG_ID,기관코드,,,,,,,STRING,,,,,,
template2,DT_435001N_001,1,TBL_ID,통계표ID,,,,,,,STRING,,,,,,
template2,DT_435001N_001,2,TBL_NM,통계표명,,,,,,,STRING,,,,,,
template2,DT_435001N_001,3,C1,분류값 ID1,,,,,,,STRING,,,,,,
template2,DT_435001N_001,4,C2,분류값 ID2,,,,,,,STRING,,,,,,
template2,DT_435001N_001,5,C3,분류값 ID3,,,,,,,STRING,,,,,,
template2,DT_435001N_001,6,C4,분류값 ID4,,,,,,,STRING,,,,,,
template2,DT_435001N_001,7,C5,분류값 ID5,,,,,,,STRING,,,,,,
template2,DT_435001N_001,8,C6,분류값 ID6,,,,,,,STRING,,,,,,
template2,DT_435001N_001,9,C7,분류값 ID7,,,,,,,STRING,,,,,,
template2,DT_435001N_001,10,C8,분류값 ID8,,,,,,,STRING,,,,,,
template2,DT_435001N_001,11,C1_OBJ_NM,분류명1,,,,,,,STRING,,,,,,
template2,DT_435001N_001,12,C2_OBJ_NM,분류명2,,,,,,,STRING,,,,,,
template2,DT_435001N_001,13,C3_OBJ_NM,분류명3,,,,,,,STRING,,,,,,
template2,DT_435001N_001,14,C4_OBJ_NM,분류명4,,,,,,,STRING,,,,,,
template2,DT_435001N_001,15,C5_OBJ_NM,분류명5,,,,,,,STRING,,,,,,
template2,DT_435001N_001,16,C6_OBJ_NM,분류명6,,,,,,,STRING,,,,,,
template2,DT_435001N_001,17,C7_OBJ_NM,분류명7,,,,,,,STRING,,,,,,
template2,DT_435001N_001,18,C8_OBJ_NM,분류명8,,,,,,,STRING,,,,,,
template2,DT_435001N_001,19,C1_OBJ_NM_ENG,분류 영문명1,,,,,,,STRING,,,,,,
template2,DT_435001N_001,20,C2_OBJ_NM_ENG,분류 영문명2,,,,,,,STRING,,,,,,
template2,DT_435001N_001,21,C3_OBJ_NM_ENG,분류 영문명3,,,,,,,STRING,,,,,,
template2,DT_435001N_001,22,C4_OBJ_NM_ENG,분류 영문명4,,,,,,,STRING,,,,,,
template2,DT_435001N_001,23,C5_OBJ_NM_ENG,분류 영문명5,,,,,,,STRING,,,,,,
template2,DT_435001N_001,24,C6_OBJ_NM_ENG,분류 영문명6,,,,,,,STRING,,,,,,
template2,DT_435001N_001,25,C7_OBJ_NM_ENG,분류 영문명7,,,,,,,STRING,,,,,,
template2,DT_435001N_001,26,C8_OBJ_NM_ENG,분류 영문명8,,,,,,,STRING,,,,,,
template2,DT_435001N_001,27,C1_NM,분류값 명1,,,,,,,STRING,,,,,,
template2,DT_435001N_001,28,C2_NM,분류값 명2,,,,,,,STRING,,,,,,
template2,DT_435001N_001,29,C3_NM,분류값 명3,,,,,,,STRING,,,,,,
template2,DT_435001N_001,30,C4_NM,분류값 명4,,,,,,,STRING,,,,,,
template2,DT_435001N_001,31,C5_NM,분류값 명5,,,,,,,STRING,,,,,,
template2,DT_435001N_001,32,C6_NM,분류값 명6,,,,,,,STRING,,,,,,
template2,DT_435001N_001,33,C7_NM,분류값 명7,,,,,,,STRING,,,,,,
template2,DT_435001N_001,34,C8_NM,분류값 명8,,,,,,,STRING,,,,,,
template2,DT_435001N_001,35,C1_NM_ENG,분류값 영문명1,,,,,,,STRING,,,,,,
template2,DT_435001N_001,36,C2_NM_ENG,분류값 영문명2,,,,,,,STRING,,,,,,
template2,DT_435001N_001,37,C3_NM_ENG,분류값 영문명3,,,,,,,STRING,,,,,,
template2,DT_435001N_001,38,C4_NM_ENG,분류값 영문명4,,,,,,,STRING,,,,,,
template2,DT_435001N_001,39,C5_NM_ENG,분류값 영문명5,,,,,,,STRING,,,,,,
template2,DT_435001N_001,40,C6_NM_ENG,분류값 영문명6,,,,,,,STRING,,,,,,
template2,DT_435001N_001,41,C7_NM_ENG,분류값 영문명7,,,,,,,STRING,,,,,,
template2,DT_435001N_001,42,C8_NM_ENG,분류값 영문명8,,,,,,,STRING,,,,,,
template2,DT_435001N_001,43,ITM_ID,항목 ID,,,,,,,STRING,,,,,,
template2,DT_435001N_001,44,ITM_NM,항목명,,,,,,,STRING,,,,,,
template2,DT_435001N_001,45,ITM_NM_ENG,항목영문명,,,,,,,STRING,,,,,,
template2,DT_435001N_001,46,UNIT_ID,단위ID,,,,,,,STRING,,,,,,
template2,DT_435001N_001,47,UNIT_NM,단위명,,,,,,,STRING,,,,,,
template2,DT_435001N_001,48,UNIT_NM_ENG,단위영문명,,,,,,,STRING,,,,,,
template2,DT_435001N_001,49,PRD_SE,수록주기,,,,,,,STRING,,,,,,
template2,DT_435001N_001,50,PRD_DE,수록시점,,,,,,,STRING,,,,,,
template2,DT_435001N_001,51,DT,수치값,,,,,,,INTEGER,,,,,,
template3,Incheon_West_Restaurant,0,RTR_NM,업소명,,,,,,,STRING,,,,,,
template3,Incheon_West_Restaurant,1,TYPE,유형,,,,,,,STRING,,,,,,
template3,Incheon_West_Restaurant,2,LOC,소재지,,,,,,,STRING,,,,,,
template3,Incheon_West_Restaurant,3,MAINMENU,주메뉴,,,,,,,STRING,,,,,,
template3,Incheon_West_Restaurant,4,NUM,전화번호,,,,,,,STRING,,,,,,
template3,Incheon_West_Restaurant,5,LAT,위도,,,,,"10,8",,DECIMAL,,,,,,
template3,Incheon_West_Restaurant,6,LON,경도,,,,,"10,7",,DECIMAL,,,,,,
template3,Incheon_West_Restaurant,7,BASE_DT,데이터 기준일자,,,,,,,DATE,,,,,,